48
9
27
12
Asad,12345678,Asadullah,Sultan,03117887903,Karachi,1
Admin29,12345678,Dude,Cool,1234567,Gujrat,0
Admin34,12345678,-,-,-,Yo,0
Admin4,12345678,-,-,-,-,0
Admin5,12345678,-,-,-,-,0
Admin6,12345678,-,-,-,-,0
Admin69,12345678,-,-,-,-,0
Admin7,12345678,-,-,-,-,0
Admin8,12345678,-,-,-,-,0
Student3,12345678,-,-,-,-,BSAI,3,641,BSAI-SM3-641,-1,1,-,-1,-1
Student21,12345678,-,-,-,-,BSAI,4,888,BSAI-SM4-888,-1,1,-,-1,-1
Student6,12345678,-,-,-,-,BSAI,5,444,BSAI-SM5-444,-1,1,-,-1,-1
Student10,12345678,-,-,-,-,BSAI,7,321,BSAI-SM7-321,-1,1,-,-1,-1
Student8,12345678,-,-,-,-,BSCS,2,123,BSCS-SM2-123,-1,1,-,-1,-1
Student155,12345678,-,-,-,-,BSCS,2,457,BSCS-SM2-457,-1,5,-,-1,-1,A,-1,-1,B,-1,-1,C,-1,-1,D,-1,-1
Student888,123123123,A,B,1234567,K,BSCS,3,124,BSCS-SM3-124,-1,5,A,-1,-1,B,-1,-1,C,-1,-1,D,-1,-1,E,-1,-1
Student11,12345678,-,-,-,-,BSCS,4,555,BSCS-SM4-555,-1,1,-,-1,-1
Student88,12345678,A,B,1234567,L,BSCS,5,125,BSCS-SM5-125,3.75,6,F,90,2.9,E,100,-1,D,70,3.56,C,60,3.69,B,-1,3.9,A,95,1.82
Student17,12345678,-,-,-,-,BSCS,6,444,BSCS-SM6-444,-1,1,-,-1,-1
Student22,12345678,-,-,-,-,BSCS,8,123,BSCS-SM8-123,-1,1,-,-1,-1
Student7,12345678,-,-,-,-,BSDS,3,777,BSDS-SM3-777,-1,1,-,-1,-1
Student14,12345678,-,-,-,-,BSDS,5,333,BSDS-SM5-333,-1,1,-,-1,-1
Student24,12345678,-,-,-,-,BSDS,6,222,BSDS-SM6-222,-1,1,-,-1,-1
Student18,12345678,-,-,-,-,BSDS,8,999,BSDS-SM8-999,-1,1,-,-1,-1
Student20,12345678,-,-,-,-,BSGM,1,555,BSGM-SM1-555,-1,1,-,-1,-1
Student16,12345678,-,-,-,-,BSGM,3,111,BSGM-SM3-111,-1,1,-,-1,-1
Student25,12345678,-,-,-,-,BSGM,5,777,BSGM-SM5-777,-1,1,-,-1,-1
Student12,12345678,-,-,-,-,BSGM,6,888,BSGM-SM6-888,-1,1,-,-1,-1
Student9,12345678,-,-,-,-,BSGM,8,666,BSGM-SM8-666,-1,1,-,-1,-1
Student4,12345678,-,-,-,-,BSSE,1,21,BSSE-SM1-21,-1,1,-,-1,-1
Student2,12345678,-,-,-,-,BSSE,1,22,BSSE-SM1-22,-1,1,-,-1,-1
Student13,12345678,-,-,-,-,BSSE,1,222,BSSE-SM1-222,-1,1,-,-1,-1
Student5,12345678,-,-,-,-,BSSE,2,55,BSSE-SM2-55,-1,1,-,-1,-1
Student1,12345678,-,-,-,-,BSSE,2,104,BSSE-SM2-104,-1,1,-,-1,-1
Student23,12345678,-,-,-,-,BSSE,2,321,BSSE-SM2-321,-1,1,-,-1,-1
Student19,12345678,-,-,-,-,BSSE,7,666,BSSE-SM7-666,-1,1,-,-1,-1
Teacher99,87654321,A,B,12345678,Lahore,AI,2003,454,AI-2003-454
Teacher4,123123123,-,-,-,-,AI,2020,245,AI-2020-245
Teacher6,12345678,-,-,-,-,CS,2019,381,CS-2019-381
Teacher3,12345678,-,-,-,-,DS,2001,739,DS-2001-739
Teacher7,12345678,-,-,-,-,DS,2003,652,DS-2003-652
Teacher11,12345678,-,-,-,-,DS,2010,122,DS-2010-122
Teacher12,12345678,-,-,-,-,GM,1999,367,GM-1999-367
Teacher5,12345678,-,-,-,-,GM,2005,826,GM-2005-826
Teacher1,12345678,-,-,-,-,GM,2007,567,GM-2007-567
Teacher8,12345678,-,-,-,-,GM,2014,915,GM-2014-915
Teacher2,12345678,-,-,-,-,SE,2011,148,SE-2011-148
Teacher10,12345678,-,-,-,-,SE,2017,776,SE-2017-776
